Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
Running on  nodes
---------------------------------------------
SLURM job ID:        11939722
SLURM job node list: lrdn2633
DATE:                Wed Jan 29 12:43:23 CET 2025
---------------------------------------------
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
01/29/2025 12:43:57 - INFO - __main__ - ***** Running training *****
01/29/2025 12:43:57 - INFO - __main__ -   Num examples = 78773
01/29/2025 12:43:57 - INFO - __main__ -   Num Epochs = 50
01/29/2025 12:43:57 - INFO - __main__ -   Instantaneous batch size per device = 16
01/29/2025 12:43:57 - INFO - __main__ -   Total train batch size (w. parallel, distributed & accumulation) = 16
01/29/2025 12:43:57 - INFO - __main__ -   Gradient Accumulation steps = 1
01/29/2025 12:43:57 - INFO - __main__ -   Total optimization steps = 1000

  0%|          | 0/1000 [00:00<?, ?it/s]
  0%|          | 1/1000 [00:33<9:18:21, 33.54s/it]
  0%|          | 2/1000 [00:48<6:17:32, 22.70s/it]
  0%|          | 3/1000 [01:03<5:19:32, 19.23s/it]
  0%|          | 4/1000 [01:18<4:52:00, 17.59s/it]
  0%|          | 5/1000 [01:33<4:36:42, 16.69s/it]
  1%|          | 6/1000 [01:48<4:27:26, 16.14s/it]
  1%|          | 7/1000 [02:04<4:21:33, 15.80s/it]
  1%|          | 8/1000 [02:19<4:17:26, 15.57s/it]
  1%|          | 9/1000 [02:34<4:14:36, 15.42s/it]
  1%|          | 10/1000 [02:49<4:12:34, 15.31s/it]
  1%|          | 11/1000 [03:04<4:11:08, 15.24s/it]
  1%|          | 12/1000 [03:19<4:10:07, 15.19s/it]
  1%|▏         | 13/1000 [03:34<4:09:17, 15.15s/it]
  1%|▏         | 14/1000 [03:49<4:08:40, 15.13s/it]
  2%|▏         | 15/1000 [04:04<4:08:09, 15.12s/it]
  2%|▏         | 16/1000 [04:19<4:07:46, 15.11s/it]
  2%|▏         | 17/1000 [04:34<4:07:28, 15.11s/it]
  2%|▏         | 18/1000 [04:50<4:07:13, 15.10s/it]
  2%|▏         | 19/1000 [05:05<4:06:50, 15.10s/it]
  2%|▏         | 20/1000 [05:20<4:06:30, 15.09s/it]
  2%|▏         | 21/1000 [05:35<4:06:13, 15.09s/it]
  2%|▏         | 22/1000 [05:50<4:05:56, 15.09s/it]
  2%|▏         | 23/1000 [06:05<4:05:42, 15.09s/it]
  2%|▏         | 24/1000 [06:20<4:05:27, 15.09s/it]
  2%|▎         | 25/1000 [06:35<4:05:15, 15.09s/it]
  3%|▎         | 26/1000 [06:50<4:05:07, 15.10s/it]
  3%|▎         | 27/1000 [07:05<4:04:53, 15.10s/it]
  3%|▎         | 28/1000 [07:20<4:04:42, 15.11s/it]
  3%|▎         | 29/1000 [07:36<4:04:23, 15.10s/it]
  3%|▎         | 30/1000 [07:51<4:04:07, 15.10s/it]
  3%|▎         | 31/1000 [08:06<4:03:48, 15.10s/it]
  3%|▎         | 32/1000 [08:21<4:03:33, 15.10s/it]
  3%|▎         | 33/1000 [08:36<4:03:18, 15.10s/it]
  3%|▎         | 34/1000 [08:51<4:03:03, 15.10s/it]
  4%|▎         | 35/1000 [09:06<4:02:48, 15.10s/it]
  4%|▎         | 36/1000 [09:21<4:02:36, 15.10s/it]
  4%|▎         | 37/1000 [09:36<4:02:21, 15.10s/it]
  4%|▍         | 38/1000 [09:51<4:02:05, 15.10s/it]
  4%|▍         | 39/1000 [10:07<4:01:49, 15.10s/it]
  4%|▍         | 40/1000 [10:22<4:01:29, 15.09s/it]
  4%|▍         | 41/1000 [10:37<4:01:10, 15.09s/it]
  4%|▍         | 42/1000 [10:52<4:01:21, 15.12s/it]
  4%|▍         | 43/1000 [11:07<4:01:00, 15.11s/it]
  4%|▍         | 44/1000 [11:22<4:00:40, 15.11s/it]
